500개 테스트
epoch=3-step=112375.ckpt: 0.9382
epoch=0-step=78651.ckpt: 0.9363
epoch=1-step=157303.ckpt: 0.9399

224744개 테스트
epoch=3-step=112375.ckpt: 0.9350
epoch=1-step=157303.ckpt: 0.9375
epoch=2-step=235955.ckpt: 0.9393
epoch=3-step=314607.ckpt: 0.9405
epoch=4-step=393259.ckpt: 0.9418
epoch=5-step=471911.ckpt: 0.9427
epoch=6-step=550563.ckpt: 0.9438
epoch=7-step=629215.ckpt: 0.9443
epoch=8-step=707867.ckpt: 0.9454
epoch=9-step=786519.ckpt: 0.9459
epoch=10-step=865171.ckpt: 0.9465
epoch=11-step=943823.ckpt: 0.9474
epoch=12-step=1022475.ckpt: 0.9479
epoch=13-step=1101127.ckpt: 0.9485
epoch=14-step=1179779.ckpt: 0.9489
epoch=15-step=1258431.ckpt: 0.9496
epoch=16-step=1337083.ckpt: 0.9503
epoch=17-step=1415735.ckpt: 0.9508
epoch=18-step=1494387.ckpt: 0.9512
epoch=19-step=1573039.ckpt: 0.9516
epoch=20-step=1651691.ckpt: 0.9520
epoch=21-step=1730343.ckpt: 0.9524
epoch=22-step=1808995.ckpt: 0.9533
epoch=24-step=1966299.ckpt: 0.9541
epoch=27-step=2202255.ckpt: 0.9552
epoch=29-step=2359559.ckpt: 0.9560
epoch=30-step=2438211.ckpt: 0.9555
